الأسم,الموديل,السعر,لون السيارة,نوع الوقود,أصل السيارة,رخصة السيارة,نوع الجير,الزجاج,قوة الماتور,عداد السيارة,عدد الركاب,وسيلة الدفع,معروضة,أصحاب سابقون,إضافات,طرف ثالث,التكميلي (جسم المركبة),المجموع,الدفع
اوبل كورسا,2016,50000.0,فيراني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,000000,4+1,نقدا فقط,للبيع أو التبديل,,"مُكيّف
إغلاق مركزي
جنطات مغنيسيوم
فرش جلد",1035,1000,2035,
فولكسفاجن باسات,2010,75000.0,أسود,ديزل,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,2000,255000,4+1,نقدا فقط,للبيع فقط,2,"مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1340,1313,2653,
فولكسفاجن باسات,1997,28000.0,فيراني,بنزين,حكومي,فلسطينية,اوتوماتيك,الكتروني,1600,,4+1,نقدا فقط,للبيع فقط,5,"مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",670,500,1170,
هونداي توسان,2015,120000.0,أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,97000,4+1,نقدا فقط,للبيع أو التبديل,,"مُكيّف
إغلاق مركزي
جهاز إنذار
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,2100,3440,
مرسيدس 220,2009,72000.0,برتقالي,ديزل,عمومي,فلسطينية,اوتوماتيك,الكتروني,2200,,7+1,إمكانية التقسيط,للبيع فقط,,"مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1690,1261,2950,
فولكسفاجن بولو,2014,63000.0,فيراني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,45000,4+1,نقدا فقط,للبيع فقط,يد ثانية,"مُكيّف
إغلاق مركزي
وسادة حماية هوائية",1035,1103,2138,
مرسيدس GLA200,2014,148000.0,فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,45000,4+1,نقدا فقط,للبيع أو التبديل,1,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,2591,3931,
كيا فورتي,2008,46000.0,رمادي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,150000,4+1,نقدا فقط,للبيع فقط,3,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1000,2340,
فولكسفاجن بولو,2014,67000.0,بني,بنزين,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,1400,105000,4+1,نقدا فقط,للبيع فقط,3,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1035,1173,2208,
اوبل اسكونا,1987,15000.0,خمري,بنزين,خصوصي,فلسطينية,اوتوماتيك,يدوي,1600,شغال,4+1,إمكانية التقسيط,للبيع فقط,4,"مُكيّف
جنطات مغنيسيوم",670,500,1170,
فورد فيستا,2014,45000.0,فضي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1250,,4+1,إمكانية التقسيط,للبيع أو التبديل,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1035,1000,2035,
اوبل استرا,2006,38000.0,خمري,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,٠٠٠٠٠٠٠٠٠,4+1,نقدا فقط,للبيع أو التبديل,٢,"مُكيّف
إغلاق مركزي
مسجل CD
فتحة سقف
وسادة حماية هوائية",1340,1000,2340,
هونداي افانتي,2005,40000.0,أبيض عاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,٨٠ الف,4+1,نقدا فقط,للبيع فقط,أولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
جنطات مغنيسيوم
وسادة حماية هوائية",1340,1000,2340,
هوندا سيفيك,2008,40000.0,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,٢٠٠٠٠٠,4+1,نقدا فقط,للبيع فقط,ثانيه,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم",1340,1000,2340,
داتشيا ستيب واي,2016,65000.0,أبيض عاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,900,27000,4+1,نقدا فقط,للبيع فقط,يد اولى,"مُكيّف
إغلاق مركزي
مسجل CD
وسادة حماية هوائية",935,1138,2073,
سكودا اوكتافيا,2008,65000.0,فضي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1900,240000,4+1,نقدا فقط,للبيع فقط,يد ثانية,"مُكيّف
إغلاق مركزي
جنطات مغنيسيوم
وسادة حماية هوائية",1340,1138,2478,
كيا برايد,2007,39999.0,فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,100000,4+1,نقدا فقط,للبيع فقط,4,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1000,2340,
هونداي اكسنت,2016,63000.0,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,٢٠٠٠٠,4+1,نقدا فقط,للبيع فقط,١,"مُكيّف
إغلاق مركزي
مسجل CD
فرش جلد",1035,1103,2138,
اوبل اسكونا,1987,14000.0,أبيض,بنزين,خصوصي,فلسطينية,عادي,يدوي,1600,١٠٠٠٠,4+1,نقدا فقط,للبيع فقط,ثانيه,"مُكيّف
وسادة حماية هوائية",670,500,1170,
فولكسفاجن جولف,2012,75000.0,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1200,90000,4+1,إمكانية التقسيط,للبيع فقط,3,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1035,1313,2348,
هونداي اكسنت,2013,58000.0,فيراني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,100000,4+1,نقدا فقط,للبيع أو التبديل,يد ثانيه,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1016,2355,
فولكسفاجن جولف,2009,66000.0,فضي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,,,نقدا فقط,للبيع فقط,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1340,1155,2495,
كيا فورتي,2008,46000.0,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,000000,4+1,نقدا فقط,للبيع أو التبديل,2,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1000,2340,
سوبارو نملة,1984,11000.0,أبيض عاجي,بنزين,خصوصي,فلسطينية,عادي,يدوي,1400,00000,4+1,نقدا فقط,للبيع فقط,8,فرش جلد,517,500,1017,
سكودا اوكتافيا,2016,104000.0,فضي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,200000,,نقدا فقط,للبيع فقط,يد أولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1821,3160,
فيات سيات,1985,5500.0,أحمر,بنزين,خصوصي,فلسطينية,عادي,الكتروني,9000,,4+1,نقدا فقط,للبيع فقط,انا,"مُكيّف
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد",845,500,1345,
,,,,,,,,,,,,,,,,,,,
مرسيدس  اتيكو 10 17,2002,75000.0,فضي,ديزل,تجاري,فلسطينية,عادي,الكتروني,2000,427374,2+1,نقدا فقط,للبيع فقط,2,,670,656,1326,
,,,,,,,,,,,,,,,,,,,
هونداي اكسنت,2014,65000.0,أبيض عاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,90,4+1,إمكانية التقسيط,للبيع أو التبديل,1,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1035,1138,2173,
هونداي i30,2008,48000.0,أسود ميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,٢٥١,4+1,إمكانية التقسيط,للبيع أو التبديل,٣,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1000,2340,
نيسان تيدا,2011,43000.0,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,60 الف,4+1,نقدا فقط,للبيع أو التبديل,يد أولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1000,2340,
سكودا رابيد,2015,68000.0,فضي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,53000,4+1,نقدا فقط,للبيع فقط,يد أولى,"مُكيّف
إغلاق مركزي
جنطات مغنيسيوم
وسادة حماية هوائية",1035,1190,2225,
هونداي اكسنت,2017,66000.0,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,90,4+1,نقدا فقط,للبيع فقط,مش منمره,"مُكيّف
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1035,1155,2190,
مرسيدس 220,1999,28000.0,أبيض,ديزل,عمومي,فلسطينية,اوتوماتيك,الكتروني,2200,,4+1,نقدا فقط,للبيع فقط,,"إغلاق مركزي
جنطات مغنيسيوم
وسادة حماية هوائية",845,500,1345,
سكودا فابيا,2004,32000.0,ذهبي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2000,00000000,4+1,إمكانية التقسيط,للبيع أو التبديل,يد ثانية,,1340,1000,2340,
سكودا اوكتافيا,2015,68000.0,أصفر,ديزل,عمومي,فلسطينية,عادي,الكتروني,1600,270000,4+1,نقدا فقط,للبيع فقط,1,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
وسادة حماية هوائية",1340,1190,2530,
كيا سبورتاج,2014,89000.0,فضي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,81000,4+1,نقدا فقط,للبيع أو التبديل,اولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1558,2898,
اوبل فيكترا,1998,24000.0,رمادي,بنزين,خصوصي,فلسطينية,عادي,يدوي,1600,160,4+1,نقدا فقط,للبيع فقط,يد اولى,فتحة سقف,670,500,1170,
اوبل استرا,2013,54000.0,أبيض عاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,90000,4+1,إمكانية التقسيط,للبيع فقط,3,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1000,2340,
,,,,,,,,,,,,,,,,,,,
هونداي توسان,2018,100000.0,فيراني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,56000,4+1,إمكانية التقسيط,للبيع أو التبديل,1,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1751,3090,
فولكسفاجن بولو,2015,57000.0,أسود,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,١٣٠٠٠٠,4+1,نقدا فقط,للبيع أو التبديل,اولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1035,1000,2035,
فيات اونو,1986,11000.0,أبيض,بنزين,خصوصي,فلسطينية,عادي,يدوي,1000,٠٠٠٠٠٠,4+1,نقدا فقط,للبيع فقط,١٧,"إغلاق مركزي
مسجل CD
جنطات مغنيسيوم",467,500,967,
اوبل فيكترا,1998,24000.0,أسود ميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,192,4+1,نقدا فقط,للبيع أو التبديل,6,"مُكيّف
إغلاق مركزي
مسجل CD
فتحة سقف
جنطات مغنيسيوم
وسادة حماية هوائية",670,500,1170,
هونداي الانترا,2012,64000.0,رصاصي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,4+1,إمكانية التقسيط,للبيع أو التبديل,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1120,2460,
فولكسفاجن باسات,2006,60000.0,أزرق,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,105,4+1,إمكانية التقسيط,للبيع فقط,1,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1050,2390,
هونداي اكسنت,2016,75000.0,أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,67000,4+1,نقدا فقط,للبيع فقط,يد اولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1313,2653,
سكودا اوكتافيا,2008,60000.0,رمادي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1900,00000,4+1,إمكانية التقسيط,للبيع فقط,يد أولى 1,"مُكيّف
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1340,1050,2390,
سكودا اوكتافيا,2009,45000.0,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,شغال,4+1,نقدا فقط,للبيع أو التبديل,اربعة,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
فرش جلد
وسادة حماية هوائية",1340,1000,2340,
جييب كومباس,2014,92000.0,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,4+1,نقدا فقط,للبيع فقط,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1611,2950,
سيت ليون,2015,62000.0,فيراني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,103000,4+1,نقدا فقط,للبيع أو التبديل,2,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1035,1085,2120,
مرسيدس C220,2003,30000.0,أزرق,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,4+1,إمكانية التقسيط,للبيع فقط,,"مُكيّف
جهاز إنذار
مسجل CD
وسادة حماية هوائية",1340,1000,2340,
فولكسفاجن بولو,2004,35500.0,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,,4+1,نقدا فقط,للبيع فقط,4,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1035,1000,2035,
بيجو بارتنر,2008,50000.0,أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,215000,4+1,إمكانية التقسيط,للبيع أو التبديل,يد ثانية,"مُكيّف
إغلاق مركزي
مسجل CD
فرش جلد
وسادة حماية هوائية",1340,1000,2340,
سوبارو امبريزا,1994,23000.0,أبيض عاجي,بنزين,عمومي,فلسطينية,عادي,الكتروني,1600,١١١١١١١,4+1,نقدا فقط,للبيع أو التبديل,١١,,670,500,1170,
ستروين Ds5,2013,60000.0,ذهبي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,90000,4+1,نقدا فقط,للبيع أو التبديل,1,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1050,2390,
مرسيدس C220,2007,85000.0,فضي,ديزل,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,2200,١٦٠٠٠٠,4+1,إمكانية التقسيط,للبيع فقط,٤,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1690,1488,3178,
مرسيدس E200,2011,115000.0,فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,,4+1,نقدا فقط,للبيع فقط,,"مُكيّف
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,2013,3353,
,,,,,,,,,,,,,,,,,,,
هونداي اكسنت,2017,65000.0,أبيض عاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,13000 كم,4+1,إمكانية التقسيط,للبيع فقط,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1035,1138,2173,
فورد فيستا,2013,35000.0,أزرق سماوي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1250,,,نقدا فقط,للبيع أو التبديل,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1035,1000,2035,
مرسيدس 518,2008,80000.0,أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,4000,245,6+1,إمكانية التقسيط,للبيع أو التبديل,1,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فرش جلد
وسادة حماية هوائية",1690,1401,3090,
,,,,,,,,,,,,,,,,,,,
كيا مورننغ,2016,50000.0,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1000,24000 كم,4+1,إمكانية التقسيط,للبيع أو التبديل,مش منمرة,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
وسادة حماية هوائية",935,1000,1935,
فولكسفاجن جولف,2008,1500.0,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,١٣٥٠٠٠,4+1,إمكانية التقسيط,للبيع فقط,ثالثه,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1000,2340,
,,,,,,,,,,,,,,,,,,,
كيا سبورتاج,2015,105000.0,أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,100000,4+1,إمكانية التقسيط,للبيع فقط,2,,1340,1838,3178,
اوبل استرا,2004,34000.0,أسود,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,,4+1,نقدا فقط,للبيع فقط,,"إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1340,1000,2340,
اودي Q5,2012,130000.0,رمادي,ديزل,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,2000,90000,4+1,إمكانية التقسيط,للبيع أو التبديل,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,2275,3615,
,,,,,,,,,,,,,,,,,,,
هونداي توسان,2007,35000.0,فيراني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,4+1,نقدا فقط,للبيع فقط,,"مُكيّف
إغلاق مركزي
مسجل CD
فتحة سقف
وسادة حماية هوائية",1340,1000,2340,
هونداي توسان,2011,81000.0,أبيض عاجي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,0000,4+1,نقدا فقط,للبيع أو التبديل,2,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1418,2758,
فيات باندا,2015,37000.0,أبيض عاجي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1250,٦٠٠٠٠,4+1,نقدا فقط,للبيع فقط,صفر,"مُكيّف
إغلاق مركزي
مسجل CD
وسادة حماية هوائية",1035,1000,2035,
فولكسفاجن توران,2008,68000.0,أسود ميتالك,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1900,420000,6+1,إمكانية التقسيط,للبيع أو التبديل,5,"مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1190,2530,
سكودا اوكتافيا,2011,55000.0,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,1600,,,إمكانية التقسيط,للبيع أو التبديل,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1340,1000,2340,
فولكسفاجن جولف بلس,2008,37000.0,سكني,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,0000000,4+1,إمكانية التقسيط,للبيع أو التبديل,2,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1340,1000,2340,
فولكسفاجن بولو,2016,60000.0,فيراني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,60000,4+1,إمكانية التقسيط,للبيع فقط,3,"مُكيّف
إغلاق مركزي
جهاز إنذار
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1035,1050,2085,
هونداي اكسنت,2015,57000.0,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,٨٠,4+1,نقدا فقط,للبيع أو التبديل,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1035,1000,2035,
هونداي فيرنا,2001,30000.0,سكني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1500,260000,4+1,نقدا فقط,للبيع فقط,٥,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",517,500,1017,
باص 1999,1999,45000.0,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,3000,,7+1,إمكانية التقسيط,للبيع فقط,,,845,500,1345,
فولكسفاجن جوالف,2016,120000.0,بترولي,بنزين,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,1400,42الف,4+1,نقدا فقط,للبيع فقط,يداولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1035,2100,3135,
اوبل كاديت,1982,11000.0,بيج,بنزين,خصوصي,فلسطينية,اوتوماتيك,يدوي,1300,,4+1,نقدا فقط,للبيع فقط,يد ثالثة,,517,500,1017,
هونداي توسان,2006,50000.0,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,200000,4+1,نقدا فقط,للبيع فقط,يد أولى,"مُكيّف
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد",1340,1000,2340,
فيات دوبلو,2015,47500.0,فضي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,١٦٥,6+1,نقدا فقط,للبيع فقط,٣,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1000,2340,
سكودا اوكتافيا,2014,92000.0,أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,155555,4+1,إمكانية التقسيط,للبيع أو التبديل,اولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1340,1611,2950,
لاندروفر ديسكفري,1996,45000.0,أخضر,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2500,400,6+1,إمكانية التقسيط,للبيع فقط,4,"مُكيّف
مسجل CD
جنطات مغنيسيوم
فرش جلد",845,500,1345,
كيا سبورتاج,2010,76000.0,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,107000,4+1,نقدا فقط,للبيع فقط,يد ثانية,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
وسادة حماية هوائية",1340,1331,2670,
كيا سبورتاج,2019,155000.0,أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,0,4+1,نقدا فقط,للبيع فقط,0,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,2713,4053,
اوبل فيكترا,2002,35000.0,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2190,30000,4+1,نقدا فقط,للبيع أو التبديل,,"مُكيّف
إغلاق مركزي
مسجل CD
فتحة سقف
جنطات مغنيسيوم
وسادة حماية هوائية",845,500,1345,
اوبل كاديت,1990,9000.0,سكني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1300,750000,4+1,نقدا فقط,للبيع أو التبديل,0,,517,500,1017,
مرسيدس 416,2001,52000.0,أبيض,ديزل,تجاري,فلسطينية,عادي,الكتروني,2800,,2+1,إمكانية التقسيط,للبيع فقط,٣,"مُكيّف
إغلاق مركزي
مسجل CD
فرش جلد
وسادة حماية هوائية",845,500,1345,
كيا سول,2015,68000.0,أحمر,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,79000,4+1,نقدا فقط,للبيع أو التبديل,1,"مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1190,2530,
كيا برايد,2006,44500.0,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,86000,4+1,نقدا فقط,للبيع فقط,ثالثه,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1000,2340,
كيا مورننغ,2016,52000.0,رمادي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1000,9000,4+1,نقدا فقط,للبيع فقط,0,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",935,1000,1935,
كيا بيكانتو,2016,52000.0,بنفسجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1000,43000,4+1,نقدا فقط,للبيع فقط,0,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",935,1000,1935,
فولكسفاجن 2005,2005,60000.0,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,2400,,7+1,إمكانية التقسيط,للبيع فقط,,"مُكيّف
إغلاق مركزي
مسجل CD
وسادة حماية هوائية",1690,1050,2740,
كيا سبورتاج,2013,81000.0,فضي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,4+1,نقدا فقط,للبيع فقط,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1418,2758,
رينو كانجو,2010,47000.0,فضي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1500,٢٦٠,5+1,نقدا فقط,للبيع فقط,٢,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
وسادة حماية هوائية",1035,1000,2035,
فولكسفاجن جولف,1997,33000.0,أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1900,,4+1,إمكانية التقسيط,للبيع فقط,,"إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",670,500,1170,
